Customer_id,state,customer_tenure_months,plan_type,contract_type,monthly_bill,last_recharge_date,last_recharge_amount,recharge_frequency,total_recharge_amount_30d,total_recharge_amount_90d,avg_recharge_value,days_since_last_recharge,active_days_30d,avg_call_duration_mins,total_calls_30d,data_usage_gb_30d,sms_count_30d,complaints_last_90d,dropped_call_rate,payment_delays_last_year,customer_support_calls_30d,has_auto_pay,num_products
XAJI0Y6DPBHSAHXTHV3A3ZMF8M,Delhi,19,prepaid,annual,50.55,05/05/2025,26.24,10,54.09,153.84,5.13,27,20,4.5,71,24.8,153,0,0.069,2,0,1,3
NMMJBQE7CKW5NGCX1945NQ4FMY,Haryana,1,prepaid,monthly,15.46,02/05/2025,17.52,1,2.4,37.88,12.63,116,3,1.0,10,1.7,0,5,0.161,2,3,0,1
7XVG0FN9XUY41IBLJH75LXO6QJ,Tamil Nadu,17,prepaid,monthly,24.5,04/24/2025,20.65,3,10.14,74.3,8.26,38,5,4.1,40,2.7,6,4,0.063,4,4,1,2
0T0PVN9ER14FFYVNVQJT7YE511,Rajasthan,23,prepaid,monthly,25.34,04/05/2025,24.21,4,19.92,80.53,6.71,57,6,3.1,21,7.5,20,1,0.11,2,3,0,1
EPQ85JSG65KXVF1T2TALA753LC,Odisha,25,prepaid,biannual,77.08,05/26/2025,35.36,13,136.03,385.99,9.9,6,26,13.8,135,53.1,159,0,0.008,1,0,1,4
UC039TEX8FSV871YZOYN6QICAT,Telangana,86,prepaid,biannual,83.45,05/28/2025,51.01,13,60.61,172.2,5.0,4,21,14.7,96,50.9,237,1,0.008,0,1,1,4
HCWI64CIYHE7UR23GDPPQ0Y9DO,Rajasthan,38,prepaid,biannual,61.83,05/28/2025,82.65,18,86.45,282.42,5.23,4,25,6.3,119,51.1,242,0,0.033,0,1,1,3
2DGTFGQ5C34DXTAD1IOR56FAO7,Madhya Pradesh,7,prepaid,monthly,10.59,02/08/2025,14.3,0,0.15,5.08,5.08,113,2,2.6,0,1.0,9,5,0.268,3,7,0,1
QP89UZFK8UT0CVS4F8CGVYIE6I,Telangana,14,prepaid,monthly,27.57,03/15/2025,25.93,5,16.12,80.05,5.34,78,8,4.4,32,6.4,53,1,0.183,4,2,1,1
BCXULJYLJEXQ77AWUDTSEMCIKP,Andhra Pradesh,10,prepaid,annual,13.22,03/14/2025,20.42,3,2.03,15.48,2.0,79,10,4.2,44,3.0,46,2,0.169,1,5,0,2
ZW9XA3KX7EEDTJVZHWJR64DPJA,Madhya Pradesh,56,prepaid,biannual,114.9,05/30/2025,72.49,20,44.49,138.99,5.0,2,29,10.8,97,32.1,185,0,0.035,1,1,1,4
E9FPZUE8YFBNTPBN78BMYYMU59,Haryana,3,prepaid,monthly,16.37,03/01/2025,14.3,0,2.11,20.57,20.57,92,0,0.8,5,2.0,8,4,0.149,5,7,0,1
F75935A0L7253J2D54I3QK2IAG,Rajasthan,4,prepaid,monthly,6.24,01/01/2025,9.78,0,0.77,38.13,38.13,151,2,1.3,11,1.3,7,3,0.297,4,9,0,1
KC1MSY4LA5JU9BVM2P9E6GBPS3,Punjab,46,prepaid,annual,47.34,05/22/2025,41.13,22,92.05,252.5,5.0,10,23,12.8,185,47.0,223,0,0.025,0,0,1,4
Z0YNCXLL4ZKLOOKEP7Y6WKTAKP,Telangana,83,prepaid,biannual,81.11,05/30/2025,59.5,20,75.36,240.49,5.0,2,21,10.8,97,29.4,215,0,0.019,0,0,1,3
VLPYS280XKXWD8IL3FB9W1Q5UZ,Uttar Pradesh,70,prepaid,biannual,66.87,05/22/2025,36.3,21,43.53,131.09,5.0,10,28,14.9,116,25.0,164,0,0.028,0,0,1,3
RIXA11DPG8SBI4Q2Y9V86WZS3T,Odisha,33,prepaid,monthly,32.27,05/24/2025,46.03,7,22.61,69.91,5.0,8,12,4.4,95,9.2,52,1,0.069,0,3,0,2
F5Q14J1RIPZIM6CFNFHOLQC3O1,Haryana,41,prepaid,annual,44.99,05/03/2025,39.64,12,22.09,62.02,5.0,29,15,6.2,96,18.2,103,1,0.026,0,0,0,3
A5UR7KO64T026RJRNY20479T6V,Punjab,21,prepaid,annual,31.79,05/20/2025,47.36,10,40.19,124.73,5.0,12,20,10.0,52,24.5,118,0,0.068,0,0,0,2
AXEQBNHL1N13JCAT9MX2X18HAF,Karnataka,107,prepaid,biannual,100.7,05/26/2025,82.02,15,120.02,396.54,8.81,6,23,9.4,153,45.4,162,0,0.036,0,0,1,4
RE8QJNV8Z2FLU7U6N7HV3IZKY2,Madhya Pradesh,22,prepaid,monthly,22.46,03/24/2025,9.49,1,16.13,68.69,22.9,69,9,5.9,14,2.2,60,2,0.095,4,4,0,1
92MPNSM43D8W3ZP08J3TRP0J43,Delhi,80,prepaid,annual,74.33,05/18/2025,37.85,19,74.2,211.05,5.0,14,22,9.5,196,28.3,92,0,0.021,0,1,1,3
KQ1UYMRLRMJKV5USGIOTIRZQAK,Uttar Pradesh,47,prepaid,biannual,98.01,05/29/2025,58.48,10,112.29,326.19,10.87,3,21,13.1,182,40.5,227,0,0.005,0,0,1,4
YLURTP0LZJJEGET1GHR09SKDGI,Karnataka,51,prepaid,monthly,24.27,05/12/2025,21.68,7,34.15,126.09,6.0,20,22,9.8,108,6.1,154,1,0.081,0,2,1,3
KZEBBK7W1DAKRM8J5ECRUYF38D,Tamil Nadu,17,prepaid,monthly,30.78,05/05/2025,45.27,10,53.97,195.49,6.52,27,14,9.1,68,9.4,123,1,0.086,1,1,1,3
E1V2ISQP49KWV08HHXFGCAQVKI,Haryana,14,prepaid,monthly,28.62,03/21/2025,21.28,2,9.6,64.42,10.74,72,8,4.3,9,10.0,8,5,0.117,4,5,0,2
K4CIJ2V2HEIFJFC2V37PQKOJTP,Telangana,108,prepaid,annual,69.53,05/22/2025,79.07,21,112.99,343.39,5.45,10,28,10.4,103,20.2,135,0,0.016,0,0,1,3
BPLJD84U89YJB1QX6GVWRDMLY4,Rajasthan,21,prepaid,annual,27.95,05/23/2025,32.09,10,44.74,142.92,5.0,9,18,6.6,99,15.1,43,0,0.047,0,2,1,3
ORXO1BDJE153A5QBSWRPBJEK5R,Maharashtra,19,prepaid,annual,24.36,03/06/2025,27.45,1,2.98,15.57,5.19,87,2,5.6,14,1.1,65,2,0.074,2,3,0,1
9VIFTTD96QE3RZSJ49ITN7S55J,Madhya Pradesh,101,prepaid,annual,68.35,05/23/2025,40.87,14,72.65,235.79,5.61,9,27,6.8,164,38.4,200,0,0.023,0,1,1,3
4M2JA04UX5QRL1N759IN4OLR6N,Punjab,19,prepaid,monthly,10.87,03/24/2025,10.7,4,17.63,76.44,6.37,69,11,4.1,13,4.4,59,4,0.109,1,5,0,2
2XF8E8LD4D6AF58C2JWOCLYT8W,Odisha,64,prepaid,biannual,52.17,05/23/2025,81.77,18,58.32,167.04,5.0,9,24,6.0,113,20.8,189,0,0.022,0,0,1,4
15BCW790PDW5PY6B2KNFTU2GC5,Telangana,71,prepaid,biannual,55.23,05/22/2025,89.48,16,111.09,320.93,6.69,10,24,6.0,104,45.4,178,0,0.004,0,1,1,3
YRUIWQY6QKTC89K8YQK94DNMKZ,Maharashtra,6,prepaid,monthly,8.4,01/31/2025,6.21,1,0.49,4.57,1.52,121,0,2.6,6,1.3,10,4,0.18,4,9,0,1
9XJUY0BVR6K2VMWWYZX4W6XLPU,Haryana,12,prepaid,monthly,13.37,12/28/2024,5.16,0,2.98,23.37,23.37,155,1,0.6,8,1.1,1,4,0.256,3,7,0,1
E6LOH25NSJF678K52QC1IYYO4U,Delhi,14,prepaid,monthly,18.91,02/10/2025,11.72,0,4.91,39.71,39.71,111,1,1.6,10,1.2,1,6,0.143,5,8,0,1
2ATQYYV37DIA5U6HC36KOF8KRD,Odisha,41,prepaid,monthly,30.61,05/17/2025,28.75,4,61.36,190.54,15.88,15,15,6.1,64,17.4,101,2,0.055,2,3,0,3
TNN8ZTV05X4W7KYHQIN9N6XCJ8,Kerala,35,prepaid,biannual,73.55,05/19/2025,34.86,22,109.29,341.21,5.17,13,28,6.7,134,44.3,138,1,0.026,0,0,1,4
3DHX8BM92H3TV3I12VJ99T2D5E,Rajasthan,22,prepaid,monthly,22.13,03/16/2025,14.19,3,4.84,44.9,4.99,77,3,1.1,7,1.8,67,2,0.195,2,3,0,1
2ILGB0S0R2SDS8B25SQ8CROYR6,Delhi,16,prepaid,annual,27.56,05/08/2025,35.69,5,20.41,59.2,5.0,24,19,10.0,39,7.1,123,2,0.037,0,0,0,2
6LFEWVZNVKSP2EX5T5P5O3O0LL,Gujarat,90,prepaid,annual,83.21,05/18/2025,61.62,19,70.28,205.75,5.0,14,28,6.3,136,51.0,156,0,0.015,0,1,1,4
NF7C3DD03UVULEMX15Z8VMUHXI,Delhi,44,prepaid,monthly,34.57,05/12/2025,39.09,6,45.99,164.04,9.11,20,12,3.1,51,10.6,157,1,0.087,0,0,1,2
MUEKIPU1WYUVXYBJ17MGFXC08D,Andhra Pradesh,105,prepaid,annual,81.62,05/29/2025,53.67,21,82.33,253.29,5.0,3,23,12.9,140,51.2,242,0,0.013,0,0,1,3
HPMNZ1UDBFWYJXRPJ1EPKYRYBO,Telangana,15,prepaid,monthly,5.58,12/12/2024,13.46,1,3.23,27.06,9.02,171,1,0.2,7,1.0,3,5,0.212,4,3,0,1
BH811KERPETIUYMO0PQCLPOXKO,Rajasthan,32,prepaid,biannual,50.41,05/31/2025,47.79,24,105.64,326.5,5.0,1,20,12.7,128,43.1,111,0,0.005,0,1,1,3
G8QYNPDPOC50H2CWTG1M8XFDJG,Karnataka,3,prepaid,monthly,29.36,04/11/2025,8.03,4,5.13,43.65,3.64,51,9,4.9,29,6.6,39,1,0.196,3,3,1,1
1XG1R11Q7UWW5WFCPKJCSLQC3C,Kerala,36,prepaid,annual,48.41,05/07/2025,31.75,7,54.71,189.21,9.01,25,13,6.1,67,17.6,153,0,0.029,0,3,1,2
9DVNU80B6UGVS8Q349DXBZ9SVN,Odisha,46,prepaid,annual,49.63,04/30/2025,47.78,11,41.78,119.08,5.0,32,14,7.6,93,9.4,105,2,0.086,0,0,0,3
KOMV2XCDYK0X65MUFM8ZOV7LN2,Kerala,46,prepaid,monthly,37.7,05/02/2025,28.39,9,43.99,138.55,5.13,30,20,7.8,77,22.6,116,1,0.031,0,0,0,3
EZ896DYSAL8M1G9FK2ST0SX5WV,Karnataka,119,prepaid,annual,75.11,05/20/2025,41.28,18,110.94,325.26,6.02,12,22,12.8,129,39.4,80,0,0.002,0,0,1,4
F313FPOYIPK0QTL3Q4N89QKNS8,Kerala,7,prepaid,monthly,9.9,02/18/2025,10.07,1,1.96,39.86,13.29,103,1,2.7,8,1.2,7,4,0.245,2,7,0,1
HV5BRN7ZSEDFQS3D6357OONNCI,Rajasthan,10,prepaid,annual,11.86,03/26/2025,19.04,4,3.57,19.86,2.0,67,6,4.0,27,6.9,57,2,0.176,2,2,0,1
74X2EK3ZEZQACJ4T0SEKKBP2QD,Odisha,14,prepaid,monthly,15.62,12/23/2024,9.81,0,0.33,7.6,7.6,160,2,0.7,1,1.2,14,8,0.288,4,5,0,1
RTWUZKAMUGYSM8T2SA5BNN0MCI,Punjab,11,prepaid,monthly,16.78,02/21/2025,12.58,1,1.26,16.59,5.53,100,1,1.1,2,0.7,0,2,0.27,3,6,0,1
W10LBT3G2QZW3C1QKBHB7S9TJ1,Tamil Nadu,9,prepaid,annual,15.19,04/04/2025,16.45,5,6.29,28.96,2.0,58,10,1.7,24,1.3,52,2,0.121,3,5,0,1
K5BXJ2POP8MGYN2JCPP9GKDLKQ,Haryana,3,prepaid,monthly,16.27,01/03/2025,6.71,0,0.16,4.17,4.17,149,3,2.7,2,0.5,5,6,0.201,5,3,0,1
PYMB5M9J98CWN2Y8FV2BC2NNUV,Punjab,70,prepaid,annual,49.7,05/19/2025,83.99,17,75.98,235.11,5.0,13,21,11.6,92,53.7,175,0,0.003,0,0,1,4
QNPCENLK8AGS6E1ZHWY9HECGZ9,Madhya Pradesh,118,prepaid,annual,94.06,05/29/2025,50.97,16,133.56,392.16,8.17,3,25,6.5,102,27.9,122,0,0.023,0,0,1,4
Y4LMCT64Z7W2SEHE2ATN2TWDL9,Haryana,93,prepaid,annual,98.09,05/24/2025,86.74,16,79.54,255.71,5.33,8,20,11.7,183,36.2,150,0,0.022,0,1,1,4
ROOUELCQSE3TV1ES53SKF7I8SK,Delhi,31,prepaid,monthly,47.52,05/19/2025,38.37,5,34.07,99.53,6.64,13,14,9.1,50,22.7,144,0,0.052,2,3,0,2
JWTEKTSG7FXZV4U3BBXUX1OXRW,Gujarat,31,prepaid,annual,38.85,05/11/2025,49.9,10,52.81,173.32,5.78,21,13,4.4,107,15.9,74,1,0.06,1,3,0,3
XKI3OQYFOQMF5L9MO1SDIEQFB8,Kerala,75,prepaid,annual,97.19,05/20/2025,89.01,22,119.01,373.72,5.66,12,23,7.0,105,26.4,231,0,0.007,0,1,1,3
WI5FLUL1RSRLA8S8HMBR5XQT4P,Odisha,16,prepaid,monthly,17.05,01/17/2025,13.42,0,3.51,39.4,39.4,135,3,2.6,1,0.9,3,2,0.221,4,8,0,1
JNOBBUNKNQT3WVEDN9UNFVOBBZ,Madhya Pradesh,49,prepaid,monthly,45.6,05/19/2025,29.15,12,44.28,131.12,5.0,13,21,8.8,70,14.7,82,0,0.078,0,0,1,3
RQVSLWF90KM3TZK3NY9V20YAR8,Madhya Pradesh,33,prepaid,annual,55.65,05/27/2025,51.14,21,103.21,302.32,5.0,5,24,9.7,182,54.3,187,0,0.027,0,1,1,3
8UIBRSZ1N3IUZGPPOHSWQ40ZSU,Punjab,19,prepaid,annual,27.95,05/02/2025,28.74,10,49.0,154.12,5.14,30,15,3.2,50,11.8,118,2,0.081,1,3,1,2
RN8QTTY5Y2JR8KK791ZYRRU7ZK,Telangana,111,prepaid,biannual,87.03,05/30/2025,52.82,16,121.82,362.08,7.54,2,24,6.1,197,34.8,87,0,0.037,0,1,1,3
YN9382KKZMPJRHT7ZEWVIYTWBO,Haryana,16,prepaid,monthly,16.31,12/21/2024,16.93,1,1.2,29.61,9.87,162,0,2.6,3,0.2,14,4,0.137,3,3,0,1
RYE89FX5RX1KKC1XI04B7P47B4,Madhya Pradesh,69,prepaid,annual,89.88,05/27/2025,81.14,21,48.08,133.48,5.0,5,22,10.9,163,51.2,111,0,0.01,0,0,1,4
R7875AUD9K9TR74QGEFQJG02U1,Karnataka,17,prepaid,monthly,17.84,01/16/2025,3.69,1,0.38,24.76,8.25,136,0,2.0,10,1.7,17,5,0.213,4,5,0,1
VWOPLOD9R7ANQJLUUJMIYQFY75,Madhya Pradesh,12,prepaid,annual,22.04,03/09/2025,22.57,4,11.34,62.35,5.2,84,6,3.6,14,1.5,29,2,0.151,5,5,0,1
LE6KWHEF0VOTQTXHI15CQZCUCT,Andhra Pradesh,84,prepaid,annual,64.08,05/26/2025,88.29,10,50.7,159.21,5.31,6,24,9.8,126,26.9,183,0,0.009,0,0,1,3
HTF4PYZR6QCEOUUYLAJAHCPZTC,Odisha,45,prepaid,annual,53.1,05/27/2025,85.91,18,84.22,263.55,5.0,5,28,5.9,133,41.6,99,0,0.021,0,0,1,4
C7BO119XP9N56NYXTXMGTT0IAA,Gujarat,17,prepaid,monthly,6.97,02/07/2025,14.85,0,2.13,17.62,17.62,114,1,0.9,7,1.6,19,6,0.12,4,3,0,1
QZPNIQFG51BXW76ICVQY5IBPT1,Madhya Pradesh,8,prepaid,monthly,22.08,03/21/2025,8.03,2,7.13,49.22,8.2,72,3,4.8,21,1.2,10,2,0.192,3,5,0,1
CSK30LVYLKFXHKC856WPR97Y2L,Uttar Pradesh,3,prepaid,monthly,28.27,03/25/2025,6.66,4,5.62,24.04,2.0,68,10,1.7,26,0.6,32,2,0.128,3,2,0,1
OKGTII4FQCOOTNJLCQNT3BNVBC,Madhya Pradesh,10,prepaid,annual,23.05,03/12/2025,12.66,3,8.46,65.47,7.27,81,8,3.2,36,8.1,58,4,0.188,2,3,0,1
10UR5L8A78E9RIVH6T1NTMJSRD,Haryana,81,prepaid,biannual,96.63,05/26/2025,50.75,16,57.47,159.93,5.0,6,21,5.3,106,42.6,188,0,0.004,0,0,1,4
